VF[S]LK[V]MF[O]	base-idm	2	5	Die Wissenschaft heiligt die Mittel .
VF[O]LK[V]MF[S]	base-idm	5	2	Die Mittel heiligt die Wissenschaft .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb heiligt die Wissenschaft die Mittel .
LK[V]MF[SO]	base-idm	3	5	Heiligt die Wissenschaft die Mittel ?
MF[SO]VC[V]	base-idm	3	5	Weil die Wissenschaft die Mittel heiligt .
VF[S]LK[V]MF[O]	base-idm	2	5	Der Zweck heiligt die Mittel .
VF[O]LK[V]MF[S]	base-idm	5	2	Die Mittel heiligt der Zweck .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb heiligt der Zweck die Mittel .
LK[V]MF[SO]	base-idm	3	5	Heiligt der Zweck die Mittel ?
MF[SO]VC[V]	base-idm	3	5	Weil der Zweck die Mittel heiligt .
VF[S]LK[V]MF[O]	base-idm	2	5	Jedes Böhnchen gibt ein Tönchen .
VF[O]LK[V]MF[S]	base-idm	5	2	Ein Tönchen gibt jedes Böhnchen .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb gibt jedes Böhnchen ein Tönchen .
LK[V]MF[SO]	base-idm	3	5	Gibt jedes Böhnchen ein Tönchen ?
MF[SO]VC[V]	base-idm	3	5	Weil jedes Böhnchen ein Tönchen gibt .
VF[S]LK[V]MF[O]	base-idm	2	5	Jede Münze hat zwei Seiten .
VF[O]LK[V]MF[S]	base-idm	5	2	Zwei Seiten hat jede Münze .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb hat jede Münze zwei Seiten .
LK[V]MF[SO]	base-idm	3	5	Hat jede Münze zwei Seiten ?
MF[SO]VC[V]	base-idm	3	5	Weil jede Münze zwei Seiten hat .
VF[S]LK[V]MF[O]	base-idm	2	5	Die Hunde beißen den letzten .
VF[O]LK[V]MF[S]	base-idm	5	2	Den letzten beißen die Hunde .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb beißen die Hunde den letzten .
LK[V]MF[SO]	base-idm	3	5	Beißen die Hunde den letzten ?
MF[SO]VC[V]	base-idm	3	5	Weil die Hunde den letzten beißen .
VF[S]LK[V]MF[O]	base-idm	2	5	Der Ton macht die Musik .
VF[O]LK[V]MF[S]	base-idm	5	2	Die Musik macht der Ton .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb macht der Ton die Musik .
LK[V]MF[SO]	base-idm	3	5	Macht der Ton die Musik ?
MF[SO]VC[V]	base-idm	3	5	Weil der Ton die Musik macht .
VF[S]LK[V]MF[O]	base-idm	2	5	Die Zeit heilt alle Wunden .
VF[O]LK[V]MF[S]	base-idm	5	2	Alle Wunden heilt die Zeit .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Deshalb heilt die Zeit alle Wunden .
LK[V]MF[SO]	base-idm	3	5	Heilt die Zeit alle Wunden ?
MF[SO]VC[V]	base-idm	3	5	Weil die Zeit alle Wunden heilt .
VF[S]LK[V]MF[O]	base-idm	1	4	Alles hat seine Zeit .
VF[O]LK[V]MF[S]	base-idm	4	2	Seine Zeit hat alles .
