VF[S]LK[V]MF[O]	base-idm	1	3	Belofte maakt schuld .
VF[O]LK[V]MF[S]	base-idm	3	1	Schuld maakt belofte .
VF[ADV]LK[V]MF[SO]	base-idm	3	4	Daarom maakt belofte schuld .
LK[V]MF[SO]	base-idm	2	3	Maakt belofte schuld ?
MF[SO]VC[V]	base-idm	2	3	Omdat belofte schuld maakt .
VF[S]LK[V]MF[O]	base-idm	2	5	De eersten zijn de laatsten .
VF[O]LK[V]MF[S]	base-idm	5	2	De laatsten zijn de eersten .
VF[ADV]LK[V]MF[SO]	base-idm	4	6	Daarom zijn de eersten de laatsten .
LK[V]MF[SO]	base-idm	3	5	Zijn de eersten de laatsten ?
MF[SO]VC[V]	base-idm	3	5	Omdat de eersten de laatsten zijn .
VF[S]LK[V]MF[O]	base-idm	3	6	De gestadige drup holt de steen .
VF[O]LK[V]MF[S]	base-idm	6	2	De steen holt de gestadige drup .
VF[ADV]LK[V]MF[SO]	base-idm	5	7	Daarom holt de gestadige drup de steen .
LK[V]MF[SO]	base-idm	4	6	Holt de gestadige drup de steen ?
MF[SO]VC[V]	base-idm	4	6	Omdat de gestadige drup de steen holt .
VF[S]LK[V]MF[O]	base-idm	3	6	De grote vissen eten de kleine .
VF[O]LK[V]MF[S]	base-idm	6	2	De kleine eten de grote vissen .
VF[ADV]LK[V]MF[SO]	base-idm	5	7	Daarom eten de grote vissen de kleine .
LK[V]MF[SO]	base-idm	4	6	Eten de grote vissen de kleine ?
MF[SO]VC[V]	base-idm	4	6	Omdat de grote vissen de kleine eten .
VF[S]LK[V]MF[O]	base-idm	2	4	De muren hebben oren .
VF[O]LK[V]MF[S]	base-idm	4	1	Oren hebben de muren .
VF[ADV]LK[V]MF[SO]	base-idm	4	5	Daarom hebben de muren oren .
LK[V]MF[SO]	base-idm	3	4	Hebben de muren oren ?
MF[SO]VC[V]	base-idm	3	4	Omdat de muren oren hebben .
VF[S]LK[V]MF[O]	base-idm	2	6	De ratten verlaten het zinkende schip .
VF[O]LK[V]MF[S]	base-idm	6	3	Het zinkende schip verlaten de ratten .
VF[ADV]LK[V]MF[SO]	base-idm	4	7	Daarom verlaten de ratten het zinkende schip .
LK[V]MF[SO]	base-idm	3	6	Verlaten de ratten het zinkende schip ?
MF[SO]VC[V]	base-idm	3	6	Omdat de ratten het zinkende schip verlaten .
VF[S]LK[V]MF[O]	base-idm	2	4	De uitkomst leert het .
VF[O]LK[V]MF[S]	base-idm	4	1	Het leert de uitkomst .
VF[ADV]LK[V]MF[SO]	base-idm	4	5	Daarom leert de uitkomst het .
LK[V]MF[SO]	base-idm	3	4	Leert de uitkomst het ?
MF[SO]VC[V]	base-idm	3	4	Omdat de uitkomst het leert .
VF[S]LK[V]MF[O]	base-idm	2	5	De uitzondering bevestigt de regel .
VF[O]LK[V]MF[S]	base-idm	5	2	De regel bevestigt de uitzondering .
