VF[S]LK[V]MF[O]	base-acc	2	5	Der General startet einen Angriff .
VF[O]LK[V]MF[S]	base-acc	5	2	Einen Angriff startet der General .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Deshalb startet der General einen Angriff .
LK[V]MF[SO]	base-acc	3	5	Startet der General einen Angriff ?
MF[SO]VC[V]	base-acc	3	5	Weil der General einen Angriff startet .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Partner leben ein Doppelleben .
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Doppelleben leben die Partner .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Deshalb leben die Partner ein Doppelleben .
LK[V]MF[SO]	base-acc	3	5	Leben die Partner ein Doppelleben ?
MF[SO]VC[V]	base-acc	3	5	Weil die Partner ein Doppelleben leben .
VF[S]LK[V]MF[O]	base-acc	2	5	Der Journalist übertextet eine Aufnahme .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Aufnahme übertextet der Journalist .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Deshalb übertextet der Journalist eine Aufnahme .
LK[V]MF[SO]	base-acc	3	5	Übertextet der Journalist eine Aufnahme ?
MF[SO]VC[V]	base-acc	3	5	Weil der Journalist eine Aufnahme übertextet .
VF[S]LK[V]MF[O]	base-acc	2	5	Die Freundinnen spielen eine Traumhochzeit .
VF[O]LK[V]MF[S]	base-acc	5	2	Eine Traumhochzeit spielen die Freundinnen .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Deshalb spielen die Freundinnen eine Traumhochzeit .
LK[V]MF[SO]	base-acc	3	5	Spielen die Freundinnen eine Traumhochzeit ?
MF[SO]VC[V]	base-acc	3	5	Weil die Freundinnen eine Traumhochzeit spielen .
VF[S]LK[V]MF[O]	base-acc	2	5	Der Passant bewirft ein Kunstwerk .
VF[O]LK[V]MF[S]	base-acc	5	2	Ein Kunstwerk bewirft der Passant .
VF[ADV]LK[V]MF[SO]	base-acc	4	6	Deshalb bewirft der Passant ein Kunstwerk .
LK[V]MF[SO]	base-acc	3	5	Bewirft der Passant ein Kunstwerk ?
MF[SO]VC[V]	base-acc	3	5	Weil der Passant ein Kunstwerk bewirft .
