VF[S]LK[V]MF[O]	base-vlight	2	4	De mens maakt fouten .
VF[O]LK[V]MF[S]	base-vlight	4	1	Fouten maakt de mens .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom maakt de mens fouten .
LK[V]MF[SO]	base-vlight	3	4	Maakt de mens fouten ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de mens fouten maakt .
VF[S]LK[V]MF[O]	base-vlight	2	4	De boef begaat misdaden .
VF[O]LK[V]MF[S]	base-vlight	4	1	Misdaden begaat de boef .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom begaat de boef misdaden .
LK[V]MF[SO]	base-vlight	3	4	Begaat de boef misdaden ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de boef misdaden begaat .
VF[S]LK[V]MF[O]	base-vlight	2	4	De bazin neemt beslissingen .
VF[O]LK[V]MF[S]	base-vlight	4	1	Beslissingen neemt de bazin .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom neemt de bazin beslissingen .
LK[V]MF[SO]	base-vlight	3	4	Neemt de bazin beslissingen ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de bazin beslissingen neemt .
VF[S]LK[V]MF[O]	base-vlight	2	4	De advocaat doet verzoeken .
VF[O]LK[V]MF[S]	base-vlight	4	1	Verzoeken doet de advocaat .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom doet de advocaat verzoeken .
LK[V]MF[SO]	base-vlight	3	4	Doet de advocaat verzoeken ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de advocaat verzoeken doet .
VF[S]LK[V]MF[O]	base-vlight	2	5	De leerlingen stellen een vraag .
VF[O]LK[V]MF[S]	base-vlight	5	2	Een vraag stellen de leerlingen .
VF[ADV]LK[V]MF[SO]	base-vlight	4	6	Daarom stellen de leerlingen een vraag .
LK[V]MF[SO]	base-vlight	3	5	Stellen de leerlingen een vraag ?
MF[SO]VC[V]	base-vlight	3	5	Omdat de leerlingen een vraag stellen .
VF[S]LK[V]MF[O]	base-vlight	2	4	De klerk plaatst orders .
VF[O]LK[V]MF[S]	base-vlight	4	1	Orders plaatst de klerk .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom plaatst de klerk orders .
LK[V]MF[SO]	base-vlight	3	4	Plaatst de klerk orders ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de klerk orders plaatst .
VF[S]LK[V]MF[O]	base-vlight	2	4	De dieren hebben geluk .
VF[O]LK[V]MF[S]	base-vlight	4	1	Geluk hebben de dieren .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom hebben de dieren geluk .
LK[V]MF[SO]	base-vlight	3	4	Hebben de dieren geluk ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de dieren geluk hebben .
VF[S]LK[V]MF[O]	base-vlight	2	4	De collega's houden rekening .
VF[O]LK[V]MF[S]	base-vlight	4	1	Rekening houden de collega's .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom houden de collega's rekening .
LK[V]MF[SO]	base-vlight	3	4	Houden de collega's rekening ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de collega's rekening houden .
VF[S]LK[V]MF[O]	base-vlight	2	4	De vriendinnen nemen afscheid .
VF[O]LK[V]MF[S]	base-vlight	4	1	Afscheid nemen de vriendinnen .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom nemen de vriendinnen afscheid .
LK[V]MF[SO]	base-vlight	3	4	Nemen de vriendinnen afscheid ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de vriendinnen afscheid nemen .
VF[S]LK[V]MF[O]	base-vlight	2	5	De kandidaten blazen een aftocht .
VF[O]LK[V]MF[S]	base-vlight	5	2	Een aftocht blazen de kandidaten .
VF[ADV]LK[V]MF[SO]	base-vlight	4	6	Daarom blazen de kandidaten een aftocht .
LK[V]MF[SO]	base-vlight	3	5	Blazen de kandidaten een aftocht ?
MF[SO]VC[V]	base-vlight	3	5	Omdat de kandidaten een aftocht blazen .
VF[S]LK[V]MF[O]	base-vlight	2	4	De politici leveren kritiek .
VF[O]LK[V]MF[S]	base-vlight	4	1	Kritiek leveren de politici .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom leveren de politici kritiek .
LK[V]MF[SO]	base-vlight	3	4	Leveren de politici kritiek ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de politici kritiek leveren .
VF[S]LK[V]MF[O]	base-vlight	2	4	De gevangenen bieden weerstand .
VF[O]LK[V]MF[S]	base-vlight	4	1	Weerstand bieden de gevangenen .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom bieden de gevangenen weerstand .
LK[V]MF[SO]	base-vlight	3	4	Bieden de gevangenen weerstand ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de gevangenen weerstand bieden .
VF[S]LK[V]MF[O]	base-vlight	2	4	De auteur verdeelt rollen .
VF[O]LK[V]MF[S]	base-vlight	4	1	Rollen verdeelt de auteur .
VF[ADV]LK[V]MF[SO]	base-vlight	4	5	Daarom verdeelt de auteur rollen .
LK[V]MF[SO]	base-vlight	3	4	Verdeelt de auteur rollen ?
MF[SO]VC[V]	base-vlight	3	4	Omdat de auteur rollen verdeelt .
VF[S]LK[V]MF[O]	base-vlight	2	5	De mountainbikers vervullen een hoop .
