VF[S]LK[V]MF[O]	base-vlight	2	5	Der Mensch macht einen Fehler .
VF[O]LK[V]MF[S]	base-vlight	5	2	Einen Fehler macht der Mensch .
LK[V]MF[SO]	base-vlight	4	6	Deshalb macht der Mensch einen Fehler .
LK[V]MF[SO]Q	base-vlight	3	5	Macht der Mensch einen Fehler ?
MF[SO]VC[V]	base-vlight	3	5	Weil der Mensch einen Fehler macht .
VF[S]LK[V]MF[O]	base-vlight	2	5	Der Gauner begeht ein Verbrechen .
VF[O]LK[V]MF[S]	base-vlight	5	2	Ein Verbrechen begeht der Gauner .
LK[V]MF[SO]	base-vlight	4	6	Deshalb begeht der Gauner ein Verbrechen .
LK[V]MF[SO]Q	base-vlight	3	5	Begeht der Gauner ein Verbrechen ?
MF[SO]VC[V]	base-vlight	3	5	Weil der Gauner ein Verbrechen begeht .
VF[S]LK[V]MF[O]	base-vlight	2	5	Die Chefinnen treffen eine Entscheidung .
VF[O]LK[V]MF[S]	base-vlight	5	2	Eine Entscheidung treffen die Chefinnen .
LK[V]MF[SO]	base-vlight	4	6	Deshalb treffen die Chefinnen eine Entscheidung .
LK[V]MF[SO]Q	base-vlight	3	5	Treffen die Chefinnen eine Entscheidung ?
MF[SO]VC[V]	base-vlight	3	5	Weil die Chefinnen eine Entscheidung treffen .
VF[S]LK[V]MF[O]	base-vlight	2	5	Der Anwalt stellt einen Antrag .
VF[O]LK[V]MF[S]	base-vlight	5	2	Einen Antrag stellt der Anwalt .
LK[V]MF[SO]	base-vlight	4	6	Deshalb stellt der Anwalt einen Antrag .
LK[V]MF[SO]Q	base-vlight	3	5	Stellt der Anwalt einen Antrag ?
MF[SO]VC[V]	base-vlight	3	5	Weil der Anwalt einen Antrag stellt .
VF[S]LK[V]MF[O]	base-vlight	2	5	Die Schüler stellen eine Frage .
VF[O]LK[V]MF[S]	base-vlight	5	2	Eine Frage stellen die Schüler .
LK[V]MF[SO]	base-vlight	4	6	Deshalb stellen die Schüler eine Frage .
LK[V]MF[SO]Q	base-vlight	3	5	Stellen die Schüler eine Frage ?
MF[SO]VC[V]	base-vlight	3	5	Weil die Schüler eine Frage stellen .
VF[S]LK[V]MF[O]	base-vlight	2	5	Der Sachbearbeiter erteilt einen Auftrag .
VF[O]LK[V]MF[S]	base-vlight	5	2	Einen Auftrag erteilt der Sachbearbeiter .
LK[V]MF[SO]	base-vlight	4	6	Deshalb erteilt der Sachbearbeiter einen Auftrag .
LK[V]MF[SO]Q	base-vlight	3	5	Erteilt der Sachbearbeiter einen Auftrag ?
MF[SO]VC[V]	base-vlight	3	5	Weil der Sachbearbeiter einen Auftrag erteilt .
VF[S]LK[V]MF[O]	base-vlight	2	5	Die Tiere spielen eine Rolle .
VF[O]LK[V]MF[S]	base-vlight	5	2	Eine Rolle spielen die Tiere .
LK[V]MF[SO]	base-vlight	4	6	Deshalb spielen die Tiere eine Rolle .
LK[V]MF[SO]Q	base-vlight	3	5	Spielen die Tiere eine Rolle ?
MF[SO]VC[V]	base-vlight	3	5	Weil die Tiere eine Rolle spielen .
VF[S]LK[V]MF[O]	base-vlight	2	4	Die Kollegen nehmen Rücksicht .
VF[O]LK[V]MF[S]	base-vlight	4	1	Rücksicht nehmen die Kollegen .
LK[V]MF[SO]	base-vlight	4	5	Deshalb nehmen die Kollegen Rücksicht .
LK[V]MF[SO]Q	base-vlight	3	4	Nehmen die Kollegen Rücksicht ?
MF[SO]VC[V]	base-vlight	3	4	Weil die Kollegen Rücksicht nehmen .
VF[S]LK[V]MF[O]	base-vlight	2	4	Die Freundinnen nehmen Abschied .
VF[O]LK[V]MF[S]	base-vlight	4	1	Abschied nehmen die Freundinnen .
LK[V]MF[SO]	base-vlight	4	5	Deshalb nehmen die Freundinnen Abschied .
LK[V]MF[SO]Q	base-vlight	3	4	Nehmen die Freundinnen Abschied ?
MF[SO]VC[V]	base-vlight	3	4	Weil die Freundinnen Abschied nehmen .
VF[S]LK[V]MF[O]	base-vlight	2	4	Der Kandidat hegt Hoffnungen .
VF[O]LK[V]MF[S]	base-vlight	4	1	Hoffnungen hegt der Kandidat .
LK[V]MF[SO]	base-vlight	4	5	Deshalb hegt der Kandidat Hoffnungen .
